timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3]
191151926,0.06873732,0.28098708,0.499887,0.9465376,0.2967885,0.10281022,-0.07357486
191184067,-0.007519145,0.27014336,0.47048634,0.94657964,0.29815623,0.10437469,-0.064776435
191215980,-0.057672925,0.21036574,0.49051875,0.9466301,0.2994236,0.10529329,-0.0561282
191248039,0.031609762,0.1513771,0.52608824,0.9467301,0.3004362,0.105658345,-0.047713354
191280108,0.03733942,0.12349293,0.5151566,0.9467989,0.301447,0.10555414,-0.039494354
191311926,-0.020213712,0.116990484,0.4690145,0.9470158,0.30193055,0.104924425,-0.031463124
191344119,-0.05806715,0.078151315,0.47069326,0.94707996,0.30287603,0.10367336,-0.023611091
191376121,-0.0049340893,0.02456489,0.511954,0.94717705,0.30363375,0.10202571,-0.01590907
191408017,0.041193206,-0.008593537,0.51655084,0.9472897,0.30427486,0.09994025,-0.0084330505
191440006,-0.0039962935,-0.0074201473,0.47060853,0.9474328,0.30474013,0.097485304,-0.0011387914
191472095,-0.07678643,-0.020034699,0.45432207,0.94753814,0.30526,0.09461148,0.006038745
191503954,-0.013988591,-0.07923374,0.48943698,0.94758356,0.30589315,0.09134714,0.013060882
191536791,0.030092686,-0.1041975,0.51004124,0.94763035,0.30640906,0.08778246,0.02011528
191568758,0.006292352,-0.09779551,0.4843066,0.9476537,0.30686095,0.084091015,0.026786143
191600790,-0.064739496,-0.07527676,0.44016865,0.9476989,0.30709893,0.08025901,0.03340139
191632739,-0.07553085,-0.09818613,0.4546001,0.947668,0.30739495,0.0763662,0.04002425
191664844,0.015385814,-0.12263138,0.49431047,0.9475174,0.30787793,0.072465464,0.04659233
191696774,0.003754029,-0.09532522,0.48202094,0.9474194,0.3079929,0.068657674,0.053132355
191724846,-0.048253715,-0.09202245,0.46514392,0.9472787,0.3080761,0.065435365,0.058909837
191756896,0.03132907,-0.082831405,0.4969978,0.9470033,0.30829883,0.061957777,0.06555868
191788742,-0.0037979623,-0.042783003,0.4642386,0.94666004,0.30847594,0.058814775,0.072238125
191820920,-0.08513256,-0.0022587527,0.43563494,0.9463053,0.3084514,0.055842236,0.07903046
191852729,-0.04348026,-0.009160986,0.45969188,0.9458154,0.308562,0.05321394,0.08597199
191884726,0.0055472823,0.00018672901,0.49609983,0.9452759,0.30853888,0.05100554,0.09303568
191917564,0.0033236411,0.052743938,0.48326844,0.94474095,0.30815387,0.04921451,0.10041815
191945687,-0.052300606,0.07278282,0.46857056,0.94415426,0.30796278,0.04802765,0.1068878
191977677,0.015056232,0.10938938,0.5029267,0.9434444,0.3075291,0.047275744,0.11447159
192009572,-0.030706955,0.17208241,0.47077835,0.9426738,0.30692303,0.047091752,0.12225687
192041621,-0.093505286,0.23002703,0.4468784,0.9417856,0.30629516,0.04745934,0.1302727
192073665,-0.07830978,0.23310429,0.47698423,0.9408506,0.30540082,0.048284136,0.13856088
192105542,0.0024964476,0.26826474,0.5177915,0.9397947,0.30440533,0.04985866,0.14709687
192137658,-0.031695414,0.34139538,0.48673132,0.93865156,0.30321273,0.052057043,0.15583809
192169660,-0.09320788,0.39624572,0.46022713,0.9373211,0.30205685,0.054845076,0.16487241
192197605,0.014764786,0.39860463,0.5259205,0.93599343,0.30105087,0.057799388,0.17304318
192229702,-0.060379602,0.48392105,0.48266965,0.93444467,0.29943645,0.061826866,0.18256104
192262428,-0.09917107,0.52860194,0.47262883,0.9326706,0.29762888,0.066580355,0.19263893
192294399,-0.06763564,0.5437757,0.51117176,0.93067557,0.29593116,0.071854316,0.20274271
192326488,-0.008922378,0.57627565,0.54929465,0.92850304,0.2939498,0.07785031,0.2131079
192358423,0.0022466513,0.64905953,0.52468526,0.9261395,0.29171613,0.08449836,0.22366787
192390538,-0.10274845,0.7130847,0.49613142,0.9235516,0.2891929,0.09176176,0.23451994
192422376,-0.08258823,0.72774243,0.5224284,0.9206374,0.28665224,0.099607214,0.2456332
192454370,0.0006744525,0.7376929,0.5678951,0.91739815,0.2841343,0.10794189,0.25689885
192486464,0.024571292,0.78815466,0.55567724,0.9138995,0.28140345,0.1167541,0.26826927
192518479,-0.06993938,0.82422245,0.5181584,0.910172,0.2784276,0.12575193,0.27973467
192550363,-0.110820405,0.8130372,0.53462493,0.90619296,0.2753186,0.13475238,0.29130033
192582373,-0.0875452,0.77783084,0.57885903,0.90210354,0.27175066,0.1435325,0.30291814
192610377,-0.13245372,0.79625934,0.5325031,0.8985047,0.2682423,0.15079762,0.31304252
192642579,-0.18609166,0.75713307,0.55747557,0.8942358,0.26411766,0.15865466,0.3246734
192674479,-0.13159871,0.69767946,0.6036489,0.88983816,0.26001653,0.16590953,0.33623433
192707281,-0.089938164,0.6488702,0.61354226,0.88528705,0.25582108,0.17265803,0.34786713
192739167,-0.091674395,0.62102103,0.5897303,0.880772,0.25198045,0.1785485,0.35898077
192771160,-0.15929425,0.5955285,0.5617947,0.87620634,0.24820787,0.18373407,0.3699961
192803217,-0.17554595,0.5384557,0.57480025,0.87153655,0.24489473,0.1882571,0.3808016
192831218,-0.06445413,0.48715106,0.5973086,0.8673822,0.24244958,0.1917926,0.38997674
192863281,-0.11326198,0.46909764,0.55922294,0.86262965,0.23993072,0.19532107,0.40019143
192895180,-0.15135865,0.41489887,0.5674506,0.85784334,0.23785843,0.19827977,0.4101382
192927208,-0.08478015,0.3554684,0.60147333,0.8530842,0.23607443,0.20069732,0.41980565
192959143,-0.012611279,0.32011467,0.6038657,0.84833384,0.2345962,0.2027455,0.42917222
192991292,-0.058555026,0.30918744,0.55620235,0.84364253,0.2332663,0.2043736,0.43827587
193019941,-0.092562996,0.2694678,0.5755484,0.83943605,0.23224135,0.20542116,0.446333
193052218,-0.0038088267,0.23647277,0.58965844,0.8347605,0.23142953,0.20641029,0.45498362
193083924,-0.04283779,0.23158935,0.5432079,0.8302188,0.23058519,0.2070629,0.46334878
193116078,-0.12327906,0.23895498,0.5089611,0.82574356,0.22953951,0.20740327,0.47163862
193148002,-0.13720198,0.20654656,0.52443445,0.8212798,0.22859146,0.20745733,0.47979864
193179989,-0.05453925,0.1781264,0.5576733,0.81679636,0.22778635,0.20744215,0.48777553
193212032,-0.057780046,0.1673274,0.5417289,0.8124083,0.22682725,0.2071976,0.49559182
193243926,-0.13497557,0.18489794,0.48960385,0.80818003,0.22549628,0.20659097,0.50330585
193271984,-0.09367343,0.14701386,0.537308,0.8044437,0.22449747,0.2059497,0.5099569
193304085,-0.101401486,0.14452688,0.50968146,0.800336,0.22304857,0.20501369,0.51737887
193335965,-0.16746086,0.16398221,0.46234214,0.7963101,0.22138895,0.20390669,0.5246897
193368220,-0.20457199,0.15535727,0.46377933,0.79225284,0.2198883,0.20271465,0.5318754
193399914,-0.13188368,0.12260819,0.4983964,0.7881955,0.21840128,0.20151517,0.5389253
193432724,-0.105484106,0.1307489,0.49971256,0.7840919,0.21664943,0.20028566,0.54602987
193460846,-0.20692165,0.1567934,0.43648058,0.7806331,0.21503058,0.1992721,0.5519644
193493078,-0.15423301,0.14559186,0.4691828,0.7765727,0.21335192,0.19828522,0.5586581
193524846,-0.09133317,0.15299283,0.47621778,0.7725205,0.21146522,0.19747841,0.56524056
193556796,-0.13764349,0.20118195,0.42447427,0.7684811,0.20932749,0.19684242,0.57172716
193588875,-0.1994646,0.2173455,0.4043377,0.7643497,0.20713703,0.19642834,0.57816947
193620816,-0.16528265,0.21370436,0.43529794,0.7601382,0.20477352,0.19619074,0.5846084
193652772,-0.09343857,0.2205179,0.4583366,0.75586987,0.20218147,0.19622615,0.5909982
193684830,-0.131087,0.26003146,0.41688648,0.7515887,0.19924383,0.19636606,0.597375
