timestamp,gps_timestamp_rel,optical_flow_timestamp_rel,distance_sensor_timestamp_rel,airspeed_timestamp_rel,vision_position_timestamp_rel,vision_attitude_timestamp_rel
196766929,32767,32767,32767,32767,32767,32767
196770913,32767,32767,32767,32767,32767,32767
196774925,32767,32767,32767,32767,32767,32767
196778913,32767,32767,32767,32767,32767,32767
196782913,32767,32767,32767,32767,32767,32767
196786934,32767,32767,32767,32767,32767,32767
196790913,32767,32767,32767,32767,32767,32767
196794941,-49,32767,32767,32767,32767,32767
196798913,32767,32767,32767,32767,32767,32767
196802913,32767,32767,32767,32767,32767,32767
196806913,32767,32767,32767,32767,32767,32767
196810913,32767,32767,32767,32767,32767,32767
196814914,32767,32767,32767,32767,32767,32767
196818913,32767,32767,32767,32767,32767,32767
196822913,32767,32767,32767,32767,32767,32767
196826913,32767,32767,32767,32767,32767,32767
196830913,32767,32767,32767,32767,32767,32767
196834915,32767,32767,32767,32767,32767,32767
196838913,32767,32767,32767,32767,32767,32767
196842913,32767,32767,32767,32767,32767,32767
196846913,32767,32767,32767,32767,32767,32767
196850928,32767,32767,32767,32767,32767,32767
196854935,32767,32767,32767,32767,32767,32767
196858913,32767,32767,32767,32767,32767,32767
196863713,32767,32767,32767,32767,32767,32767
196867729,32767,32767,32767,32767,32767,32767
196871713,32767,32767,32767,32767,32767,32767
196875721,32767,32767,32767,32767,32767,32767
196879713,32767,32767,32767,32767,32767,32767
196883713,32767,32767,32767,32767,32767,32767
196887741,32767,32767,32767,32767,32767,32767
196891713,32767,32767,32767,32767,32767,32767
196895757,32767,32767,32767,32767,32767,32767
196899713,32767,32767,32767,32767,32767,32767
196903713,32767,32767,32767,32767,32767,32767
196907713,32767,32767,32767,32767,32767,32767
196911714,32767,32767,32767,32767,32767,32767
196915721,32767,32767,32767,32767,32767,32767
196919713,32767,32767,32767,32767,32767,32767
196923713,32767,32767,32767,32767,32767,32767
196927713,32767,32767,32767,32767,32767,32767
196931713,32767,32767,32767,32767,32767,32767
196935749,32767,32767,32767,32767,32767,32767
196939715,32767,32767,32767,32767,32767,32767
196943758,32767,32767,32767,32767,32767,32767
196947713,32767,32767,32767,32767,32767,32767
196951738,32767,32767,32767,32767,32767,32767
196955713,32767,32767,32767,32767,32767,32767
196959713,32767,32767,32767,32767,32767,32767
196963713,32767,32767,32767,32767,32767,32767
196967713,32767,32767,32767,32767,32767,32767
196971741,32767,32767,32767,32767,32767,32767
196975714,32767,32767,32767,32767,32767,32767
196979713,32767,32767,32767,32767,32767,32767
196983713,32767,32767,32767,32767,32767,32767
196987713,32767,32767,32767,32767,32767,32767
196991713,32767,32767,32767,32767,32767,32767
196995713,32767,32767,32767,32767,32767,32767
