timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
337275053,337274921,0.05866787,0.1059442,-0.027624637,0.36927336,0.0,0.0,0.0,1.0
337376647,337376521,0.05851427,0.064838424,-0.10440519,0.36798424,0.0,0.0,0.0,1.0
337480643,337480521,0.00038727256,0.07591281,-0.044540573,0.37932876,0.0,0.0,0.0,1.0
337580732,337580568,-0.0020323014,0.058870524,-0.09164199,0.38584468,0.0,0.0,0.0,1.0
337680689,337680521,0.027170205,0.059616003,-0.08123043,0.39257622,0.0,0.0,0.0,1.0
337784653,337784521,0.010776418,0.06450626,-0.08319319,0.39062643,0.0,0.0,0.0,1.0
337886284,337886124,-0.0038381945,0.039806176,-0.08388432,0.39291948,0.0,0.0,0.0,1.0
337986245,337986120,0.007524304,0.05495932,-0.08719729,0.3913748,0.0,0.0,0.0,1.0
338086259,338086124,-0.020106522,0.03793886,-0.081447214,0.38893318,0.0,0.0,0.0,1.0
338190248,338190120,-0.03987082,0.039071873,-0.0839586,0.38926858,0.0,0.0,0.0,1.0
338290262,338290124,0.0075846426,0.044421364,-0.096546985,0.39168525,0.0,0.0,0.0,1.0
338391053,338390921,0.0014728159,0.030751921,-0.09724431,0.39703837,0.0,0.0,0.0,1.0
338491876,338491721,-0.02876687,0.037643902,-0.058651898,0.39704013,0.0,0.0,0.0,1.0
338595883,338595721,0.067263305,0.033141147,-0.07732767,0.39877886,0.0,0.0,0.0,1.0
338695924,338695721,-9.009987e-05,0.009797588,-0.10148674,0.39413622,0.0,0.0,0.0,1.0
338799862,338799737,-0.028235536,0.018468458,-0.04146151,0.39643738,0.0,0.0,0.0,1.0
338899871,338899743,0.07339888,0.022035612,-0.13342203,0.3928604,0.0,0.0,0.0,1.0
339001463,339001337,-0.0063361563,0.026051259,-0.09795235,0.39315256,0.0,0.0,0.0,1.0
339101461,339101325,0.03903556,0.015182618,-0.07579653,0.395444,0.0,0.0,0.0,1.0
339205453,339205321,0.07473939,0.037715036,-0.116794474,0.38854873,0.0,0.0,0.0,1.0
339305471,339305321,-0.049904764,0.032362204,-0.05376247,0.39208016,0.0,0.0,0.0,1.0
339405451,339405321,0.037191875,0.033152882,-0.107303955,0.34789512,0.0,0.0,0.0,1.0
339507048,339506921,0.029925112,0.02153119,-0.13179736,0.36209935,0.0,0.0,0.0,1.0
339611080,339610921,-0.047038723,0.014210295,-0.08371023,0.39179125,0.0,0.0,0.0,1.0
339711048,339710921,0.06791004,0.038037684,-0.10445983,0.39924556,0.0,0.0,0.0,1.0
339815111,339814943,0.021452429,0.04272799,-0.10249186,0.37665644,0.0,0.0,0.0,1.0
339915072,339914921,0.029815366,0.016657194,-0.11185361,0.37736014,0.0,0.0,0.0,1.0
340015089,340014921,0.05162741,0.018196542,-0.10368113,0.3775657,0.0,0.0,0.0,1.0
340116699,340116530,-0.022701748,0.031057535,-0.07131671,0.37518603,0.0,0.0,0.0,1.0
340220649,340220521,-0.013670683,0.03389805,-0.10583558,0.3810024,0.0,0.0,0.0,1.0
340320642,340320521,0.029611696,0.033573717,-0.12767792,0.39184776,0.0,0.0,0.0,1.0
340420687,340420552,-0.054662764,0.012273591,-0.058807194,0.39597008,0.0,0.0,0.0,1.0
340524643,340524521,-0.024692012,0.03136868,-0.078380115,0.3905063,0.0,0.0,0.0,1.0
340625447,340625321,0.0489699,0.019560805,-0.085478894,0.3865378,0.0,0.0,0.0,1.0
340725493,340725321,-0.023558836,0.051648974,-0.10114428,0.38299498,0.0,0.0,0.0,1.0
340829530,340829321,0.028485406,0.026397998,-0.06938656,0.38903594,0.0,0.0,0.0,1.0
340929470,340929321,0.020976573,0.024160082,-0.109736845,0.38708183,0.0,0.0,0.0,1.0
341029448,341029321,0.0073899324,0.05363233,-0.06915016,0.389645,0.0,0.0,0.0,1.0
341133467,341133339,0.09742514,0.035103593,-0.110899456,0.39096817,0.0,0.0,0.0,1.0
341233497,341233321,-0.06684476,0.0298634,-0.10070676,0.38940948,0.0,0.0,0.0,1.0
341334296,341334119,0.04263314,0.019217236,-0.11018323,0.38901895,0.0,0.0,0.0,1.0
341438242,341438120,0.005013237,0.027474126,-0.09710268,0.38657743,0.0,0.0,0.0,1.0
341538275,341538147,-0.03695452,0.016038217,-0.087084554,0.38681972,0.0,0.0,0.0,1.0
341642286,341642146,0.0017729299,0.022184275,-0.059450272,0.38863468,0.0,0.0,0.0,1.0
341746283,341746157,0.04915227,0.03394132,-0.10598198,0.38731438,0.0,0.0,0.0,1.0
341846281,341846120,-0.055671617,0.01925518,-0.060675222,0.3888236,0.0,0.0,0.0,1.0
341950254,341950120,-0.0149303945,-0.0042145085,-0.07829882,0.38556027,0.0,0.0,0.0,1.0
342050247,342050120,0.023943016,0.026480053,-0.10330635,0.38806835,0.0,0.0,0.0,1.0
342151877,342151721,-0.0095030395,0.040241044,-0.13215752,0.38727832,0.0,0.0,0.0,1.0
342251877,342251721,-0.008735986,0.029016599,-0.06562843,0.3935697,0.0,0.0,0.0,1.0
342355850,342355723,0.073919795,0.037841484,-0.14065187,0.388784,0.0,0.0,0.0,1.0
342455889,342455721,-0.035293885,0.02670228,-0.0840778,0.3886965,0.0,0.0,0.0,1.0
342555887,342555759,0.07460097,0.020160297,-0.08610353,0.39096838,0.0,0.0,0.0,1.0
342657494,342657322,0.009469902,0.039284837,-0.12522809,0.38561606,0.0,0.0,0.0,1.0
342761530,342761321,0.0065264753,0.005992422,-0.09396684,0.3789762,0.0,0.0,0.0,1.0
342861490,342861321,0.02064097,0.045944683,-0.09170857,0.37042123,0.0,0.0,0.0,1.0
342961448,342961321,0.00022813119,0.0030321945,-0.09043785,0.37502298,0.0,0.0,0.0,1.0
343065452,343065322,0.024547644,0.010113813,-0.10615273,0.38064668,0.0,0.0,0.0,1.0
343165487,343165321,-0.002769684,0.042214394,-0.081146255,0.38760895,0.0,0.0,0.0,1.0
343266290,343266120,0.02096576,0.00577655,-0.10898547,0.39532903,0.0,0.0,0.0,1.0
343370242,343370120,-0.015189143,0.01930475,-0.078386165,0.39409965,0.0,0.0,0.0,1.0
343470264,343470140,0.038882487,0.022038631,-0.10128367,0.3928576,0.0,0.0,0.0,1.0
343574283,343574142,0.010365897,0.03779348,-0.10577731,0.3887682,0.0,0.0,0.0,1.0
343678256,343678124,0.017958343,-0.0008145608,-0.07898122,0.39156577,0.0,0.0,0.0,1.0
343778269,343778144,-0.0039338833,0.014278556,-0.0971691,0.38800266,0.0,0.0,0.0,1.0
343882283,343882148,-0.021833621,0.0040678177,-0.13543262,0.39014712,0.0,0.0,0.0,1.0
343979888,343979721,0.02497757,0.027921285,-0.08481339,0.38803256,0.0,0.0,0.0,1.0
344083849,344083721,0.025885986,0.068744555,-0.1411204,0.38858923,0.0,0.0,0.0,1.0
344183849,344183721,-0.015534408,0.0011354487,-0.054691877,0.3840235,0.0,0.0,0.0,1.0
344287846,344287721,0.04245348,0.0021960917,-0.1111684,0.38353643,0.0,0.0,0.0,1.0
