timestamp,safety_switch_available,safety_off,override_available,override_enabled
693616571,1,1,0,0
693640598,1,1,0,0
693664550,1,1,0,0
693684529,1,1,0,0
693704567,1,1,0,0
693728778,1,1,0,0
693748550,1,1,0,0
693768572,1,1,0,0
693788596,1,1,0,0
693812548,1,1,0,0
693836803,1,1,0,0
693857282,1,1,0,0
693878160,1,1,0,0
693898215,1,1,0,0
693922220,1,1,0,0
693946489,1,1,0,0
693970213,1,1,0,0
693994172,1,1,0,0
694018378,1,1,0,0
694038170,1,1,0,0
694062206,1,1,0,0
694082196,1,1,0,0
694102197,1,1,0,0
694126382,1,1,0,0
694146169,1,1,0,0
694166169,1,1,0,0
694190198,1,1,0,0
694210147,1,1,0,0
694234356,1,1,0,0
694254171,1,1,0,0
694274156,1,1,0,0
694294152,1,1,0,0
694318177,1,1,0,0
694338171,1,1,0,0
694362171,1,1,0,0
694383770,1,1,0,0
694403782,1,1,0,0
694427775,1,1,0,0
694452009,1,1,0,0
694475808,1,1,0,0
694499757,1,1,0,0
694523977,1,1,0,0
694547789,1,1,0,0
694571824,1,1,0,0
694595984,1,1,0,0
694615797,1,1,0,0
694635817,1,1,0,0
694659768,1,1,0,0
694683794,1,1,0,0
694704013,1,1,0,0
694727692,1,1,0,0
694747740,1,1,0,0
694771802,1,1,0,0
694791774,1,1,0,0
694812016,1,1,0,0
694831807,1,1,0,0
694855755,1,1,0,0
694875780,1,1,0,0
694895693,1,1,0,0
694916487,1,1,0,0
694936570,1,1,0,0
694960573,1,1,0,0
694984573,1,1,0,0
695008480,1,1,0,0
695028794,1,1,0,0
695048570,1,1,0,0
695072573,1,1,0,0
695096481,1,1,0,0
695116571,1,1,0,0
695136762,1,1,0,0
695160604,1,1,0,0
695184570,1,1,0,0
695204574,1,1,0,0
695224573,1,1,0,0
695244880,1,1,0,0
695268613,1,1,0,0
695288597,1,1,0,0
695312590,1,1,0,0
695332580,1,1,0,0
695352919,1,1,0,0
695372574,1,1,0,0
695396634,1,1,0,0
695420482,1,1,0,0
695440548,1,1,0,0
695464551,1,1,0,0
695484569,1,1,0,0
695508553,1,1,0,0
695532855,1,1,0,0
695552598,1,1,0,0
695576480,1,1,0,0
695596534,1,1,0,0
695618224,1,1,0,0
695638197,1,1,0,0
695662232,1,1,0,0
695686177,1,1,0,0
695706185,1,1,0,0
695730172,1,1,0,0
695754186,1,1,0,0
695778153,1,1,0,0
695798153,1,1,0,0
695818169,1,1,0,0
695838170,1,1,0,0
695862194,1,1,0,0
695882200,1,1,0,0
695906172,1,1,0,0
695926176,1,1,0,0
695950148,1,1,0,0
695974148,1,1,0,0
