timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
651976116,0.20204788,0.020544145,-0.20329188,-0.9351884,0.008988627,0.0014063978,-0.3540339,0.10171716,0.05032503,0.056192018,-0.9919493,1
652008046,-0.06431346,-0.06559346,-0.2627974,-0.93699527,0.007880006,0.0024149923,-0.34924507,0.10171716,0.05032503,0.056192018,-0.9919493,1
652040131,0.18586396,-0.086542696,-0.4084083,-0.9387334,0.0066142958,0.0029617052,-0.34456813,0.10171716,0.05032503,0.056192018,-0.9919493,1
652068111,0.017648721,0.0025013662,-0.15199868,-0.939989,0.0072622555,0.0034373188,-0.34111032,0.10171716,0.05032503,0.056192018,-0.9919493,1
652100089,-0.22256649,-0.026666168,-0.08687496,-0.9413592,0.0076205027,0.0035423283,-0.33730158,0.10171716,0.05032503,0.056192018,-0.9919493,1
652132260,0.1194035,0.104191154,-0.17829745,-0.94273937,0.0075384807,0.0028689704,-0.33343273,0.10171716,0.05032503,0.056192018,-0.9919493,1
652164168,0.2427103,0.059571005,-0.28776488,-0.943895,0.008071726,0.0025896374,-0.33013692,0.10171716,0.05032503,0.056192018,-0.9919493,1
652196038,-0.1338578,0.054160688,-0.26572996,-0.9449768,0.009763981,0.002990923,-0.3269782,0.10171716,0.05032503,0.056192018,-0.9919493,1
652228150,-0.16436727,-0.011791686,-0.26706812,-0.9458939,0.010586362,0.0024183567,-0.32429445,0.10171716,0.05032503,0.056192018,-0.9919493,1
652260115,0.21128169,0.033961993,-0.37555945,-0.9469391,0.010440814,0.001350671,-0.32124045,0.10171716,0.05032503,0.056192018,-0.9919493,1
652292356,-0.042765927,-0.029267896,-0.4025961,-0.94766957,0.010859866,0.0014122274,-0.31906518,0.10171716,0.05032503,0.056192018,-0.9919493,1
652324047,0.078546815,0.10365345,-0.17809615,-0.9484801,0.010243971,0.0012576327,-0.3166685,0.10171716,0.05032503,0.056192018,-0.9919493,1
652356129,-0.123583294,0.012334494,-0.18962881,-0.9490958,0.010062832,0.0019315602,-0.31482083,0.10171716,0.05032503,0.056192018,-0.9919493,1
652388111,0.089266196,-0.01039637,0.010634921,-0.94965714,0.009208624,0.002512779,-0.31314555,0.10171716,0.05032503,0.056192018,-0.9919493,1
652420133,-0.051047094,0.03338528,-0.16763137,-0.95021534,0.00913008,0.0031132114,-0.31144476,0.10171716,0.05032503,0.056192018,-0.9919493,1
652452156,-0.17082514,-0.05161106,0.019261632,-0.95061636,0.008481709,0.0035370183,-0.3102323,0.10171716,0.05032503,0.056192018,-0.9919493,1
652484093,-0.086561285,-0.014889107,-0.14289466,-0.95107555,0.008432226,0.0039961757,-0.30881742,0.10171716,0.05032503,0.056192018,-0.9919493,1
652516148,-0.11139665,-0.06945256,-0.030498754,-0.9513254,0.00843448,0.0043849554,-0.3080413,0.10171716,0.05032503,0.056192018,-0.9919493,1
652548131,-0.042845797,0.034763455,-0.0119816465,-0.9515956,0.00853455,0.0041038655,-0.30720702,0.10171716,0.05032503,0.056192018,-0.9919493,1
652580037,-0.20235933,0.015242376,0.055331785,-0.95171356,0.008183291,0.0037836754,-0.306855,0.10171716,0.05032503,0.056192018,-0.9919493,1
652613652,0.0040172804,0.10176088,0.14625183,-0.95185345,0.007403931,0.002992069,-0.30644944,0.10171716,0.05032503,0.056192018,-0.9919493,1
652641851,-0.12310858,0.038310725,-0.13169987,-0.95206535,0.0071512354,0.002964596,-0.305797,0.10171716,0.05032503,0.056192018,-0.9919493,1
652673672,-0.098199695,0.07927827,0.105228186,-0.9521514,0.0068616313,0.0028841624,-0.3055359,0.10171716,0.05032503,0.056192018,-0.9919493,1
652705801,-0.049372695,0.019599643,0.05149064,-0.9522588,0.006794532,0.0033255164,-0.3051983,0.10171716,0.05032503,0.056192018,-0.9919493,1
652737696,0.09965495,0.069161534,0.16850196,-0.9522017,0.0065993625,0.003273651,-0.3053813,0.10171716,0.05032503,0.056192018,-0.9919493,1
652769793,-0.02803501,0.050022557,0.04465612,-0.9522001,0.0067236573,0.003336416,-0.30538282,0.10171716,0.05032503,0.056192018,-0.9919493,1
652801658,-0.013157129,-0.0058910437,0.1141877,-0.9521227,0.0065725017,0.0032182452,-0.30562863,0.10171716,0.05032503,0.056192018,-0.9919493,1
652833739,-0.023560405,-0.0038391585,-0.13595061,-0.95220906,0.006505102,0.0030854454,-0.30536243,0.10171716,0.05032503,0.056192018,-0.9919493,1
652865747,0.12188044,-0.049116656,-0.103541985,-0.95206374,0.0063635977,0.00293674,-0.30581948,0.10171716,0.05032503,0.056192018,-0.9919493,1
652897811,0.16380268,-0.05187527,-0.023361808,-0.9519719,0.0067266016,0.0030182896,-0.3060967,0.10171716,0.05032503,0.056192018,-0.9919493,1
652929662,-0.02843064,-0.09361279,0.030520841,-0.9518175,0.006777679,0.003150858,-0.30657408,0.10171716,0.05032503,0.056192018,-0.9919493,1
652961684,0.13019189,-0.07931322,-0.04001658,-0.9518195,0.0064230724,0.0029914896,-0.30657706,0.10171716,0.05032503,0.056192018,-0.9919493,1
652993729,0.114727825,-0.11200187,-0.11715961,-0.95166165,0.0063808477,0.0032115292,-0.30706528,0.10171716,0.05032503,0.056192018,-0.9919493,1
653025683,0.07974978,0.0045772176,-0.07287314,-0.95159775,0.00673331,0.003301679,-0.3072549,0.10171716,0.05032503,0.056192018,-0.9919493,1
653057700,-0.23826581,-0.11134779,0.038503725,-0.95142335,0.006510993,0.0031549234,-0.30780092,0.10171716,0.05032503,0.056192018,-0.9919493,1
653089689,-0.054260064,-0.03701086,0.06254602,-0.9514222,0.006200116,0.002838551,-0.3078137,0.10171716,0.05032503,0.056192018,-0.9919493,1
653117641,-0.05694893,-0.004887918,-0.040830262,-0.9512736,0.0067327325,0.0032335478,-0.30825776,0.10171716,0.05032503,0.056192018,-0.9919493,1
653151282,-0.13856871,0.035659112,0.05773803,-0.9511467,0.0073212534,0.0033627101,-0.3086341,0.10171716,0.05032503,0.056192018,-0.9919493,1
